"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>"
"SURVEY","2021","JUL THRU SEP","","STATE","KANSAS","20","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","500","","9,000","","450","","1,600","","18","","10.1","","17.7","","14.9","","31.1","","14.7","","66.8","","1,300","","14",""
"SURVEY","2021","JUL THRU SEP","","STATE","KENTUCKY","21","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","900","","10,500","","150","","1,100","","10","","0.6","","1.2",""," (Z)","","18.2","","11","","39.4","","740","","7",""
"SURVEY","2021","JUL THRU SEP","","STATE","LOUISIANA","22","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,300","","31,000","","1,400","","2,300","","7","","0","","0.6","","0","","2.3","","6","","8","","2,800","","9",""
"SURVEY","2021","JUL THRU SEP","","STATE","MAINE","23","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","380","","10,000","","50","","1,400","","14",""," (Z)","","17","","5","","0","","0","","18.7","","210","","2",""
"SURVEY","2021","JUL THRU SEP","","STATE","MARYLAND","24","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","300","","6,000","","320","","490","","8",""," (Z)","","0.7","","0.5","","13.6","","1.5","","20","","170","","3",""
"SURVEY","2021","JUL THRU SEP","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,700","","13,000","","20","","1,100","","8","","0.6","","0.5","","1.5","","8.7","","4.5","","23","","1,200","","9",""
"SURVEY","2021","JUL THRU SEP","","STATE","MICHIGAN","26","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","7,500","","120,000","","2,800","","8,500","","7",""," (Z)","","2.7","","17","","4.2","","0.8","","63.5","","4,800","","4",""
"SURVEY","2021","JUL THRU SEP","","STATE","MINNESOTA","27","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","5,000","","106,000","","2,300","","7,000","","7",""," (Z)","","2.3","","10.5","","1.1","","1.8","","27.5","","1,300","","1",""
"SURVEY","2021","JUL THRU SEP","","STATE","MISSISSIPPI","28","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","770","","18,500","","460","","1,900","","10","","1.3","","3",""," (Z)","","1.1","","7.8","","25.3","","310","","2",""
"SURVEY","2021","JUL THRU SEP","","STATE","MISSOURI","29","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","420","","7,000","","50","","480","","7",""," (Z)","","2.1","","1.3","","14.4","","8.7","","24","","900","","13",""
"SURVEY","2021","JUL THRU SEP","","STATE","MONTANA","30","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","870","","114,000","","670","","6,000","","5","","1.2","","14.8",""," (Z)","","1.5","","0.5","","19.5","","7,500","","7",""
"SURVEY","2021","JUL THRU SEP","","STATE","NEBRASKA","31","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,200","","49,000","","480","","6,000","","12",""," (Z)","","3.2","","1.8",""," (Z)","","1.8","","13.7","","1,800","","4",""
"SURVEY","2021","JUL THRU SEP","","STATE","NEW JERSEY","34","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","390","","19,500","","40","","400","","2",""," (Z)","","0.7","","1.8","","4.9","","1.9","","10.7","","480","","2",""
"SURVEY","2021","JUL THRU SEP","","STATE","NEW MEXICO","35","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","40","","5,500","","10","","30","","1","","1.1","","0","","0","","4.4","","0","","22.5","","130","","2",""
"SURVEY","2021","JUL THRU SEP","","STATE","NEW YORK","36","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,200","","67,000","","2,200","","5,500","","8","","3","","11.8","","5.6","","14.1","","11.2","","37.7","","5,000","","7",""
"SURVEY","2021","JUL THRU SEP","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,800","","25,000","","730","","3,000","","12","","0.9","","6.6",""," (Z)","","10.4","","1","","29.3","","2,200","","9",""
"SURVEY","2021","JUL THRU SEP","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","7,500","","580,000","","1,800","","67,000","","12","","2.2","","7","","4.1","","6.1","","5.5","","31.7","","14,500","","3",""
"SURVEY","2021","JUL THRU SEP","","STATE","OHIO","39","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,300","","21,000","","450","","1,700","","8","","0.7","","8.2","","23","","49.9","","4.1","","78.7","","4,100","","20",""
"SURVEY","2021","JUL THRU SEP","","STATE","OKLAHOMA","40","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","340","","3,300","","80","","260","","8","","0.5","","6.2",""," (Z)","","9.4","","1.4","","14.5","","20","","1",""
"SURVEY","2021","JUL THRU SEP","","STATE","OREGON","41","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","9,000","","132,000","","4,100","","14,000","","11","","3.4","","9.6","","10.9","","8.4","","1.3","","39.4","","13,500","","10",""
"SURVEY","2021","JUL THRU SEP","","STATE","OTHER STATES","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","210","","10,990","","","","530","","5",""," (Z)","","4.6","","11","","10.9","","2.2","","31.7","","1,460","","13",""
"SURVEY","2021","JUL THRU SEP","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","740","","28,000","","350","","1,600","","6","","1","","4.2","","2.6","","15.3","","3.8","","40.5","","980","","4",""
"SURVEY","2021","JUL THRU SEP","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,500","","20,000","","90","","2,200","","11","","2.8","","4.3","","1.3","","5.3","","3.2","","15.8","","460","","2",""
"SURVEY","2021","JUL THRU SEP","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","7,000","","235,000","","470","","29,000","","12","","1.1","","14.1","","3.9","","4.6","","1.3","","18.3","","3,100","","1",""
"SURVEY","2021","JUL THRU SEP","","STATE","TENNESSEE","47","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","850","","15,500","","230","","1,100","","7",""," (Z)","","1.8","","0.7","","11.6",""," (Z)","","16","","740","","5",""
"SURVEY","2021","JUL THRU SEP","","STATE","TEXAS","48","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,100","","144,000","","18,500","","4,000","","3","","0.5","","4.4","","4.4","","6","","0.5","","20.2","","6,000","","4",""
"SURVEY","2021","JUL THRU SEP","","STATE","UTAH","49","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,200","","37,000","","340","","2,900","","8",""," (Z)","","1.9","","3.9",""," (Z)","","0.5","","40","","1,900","","5",""
"SURVEY","2021","JUL THRU SEP","","STATE","VERMONT","50","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","310","","7,000","","0","","10",""," (Z)","","1.5","","1.6","","0","","3","","0.6","","25.4","","100","","1",""
"SURVEY","2021","JUL THRU SEP","","STATE","VIRGINIA","51","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","530","","10,500","","330","","890","","8","","0.9","","4.6","","0.8","","12.1","","1.9","","19.2","","750","","7",""
"SURVEY","2021","JUL THRU SEP","","STATE","WASHINGTON","53","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,300","","79,000","","1,500","","4,900","","6","","4.9","","12.7","","2.3","","2.2","","1.6","","34.3","","15,500","","20",""
"SURVEY","2021","JUL THRU SEP","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","320","","8,000","","180","","570","","7","","10.2","","2.8","","9.9","","15.1","","1.2","","24.7","","220","","3",""
"SURVEY","2021","JUL THRU SEP","","STATE","WISCONSIN","55","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,500","","66,000","","2,100","","7,000","","11","","20.3","","15.3","","31.2","","36.8","","8","","56","","4,300","","7",""
"SURVEY","2021","JUL THRU SEP","","STATE","WYOMING","56","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","430","","36,000","","410","","2,200","","6",""," (Z)","","0.8","","0.5",""," (Z)","","0.8","","4.7","","3,900","","11",""
"SURVEY","2021","OCT THRU DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","93,940","","","","82,340","","329,110","","11","","3.9","","5.4","","5.6","","10.6","","4.7","","33.6","","146,520","","5",""
"SURVEY","2021","OCT THRU DEC","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","360","","9,000","","160","","1,100","","12","","3.5","","2.5","","6.8","","44.7","","1.4","","60.8","","10",""," (Z)",""
"SURVEY","2021","OCT THRU DEC","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","7,500","","23,000","","380","","5,500","","24",""," (Z)","","1.8","","3.3","","35.2","","0.9","","67.2","","","","0",""
"SURVEY","2021","OCT THRU DEC","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","920","","18,000","","250","","480","","3","","0","","0.6","","25.6","","28.2","","0.7","","35.7","","100","","1",""
"SURVEY","2021","OCT THRU DEC","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","15,000","","1,210,000","","10,000","","50,000","","4","","3.7","","2.8","","1.9","","4.8","","2","","14.6","","29,000","","2",""
"SURVEY","2021","OCT THRU DEC","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","200","","13,000","","1,300","","1,600","","12","","0","","2.6",""," (Z)",""," (Z)","","3.7","","4.6","","","","0",""
"SURVEY","2021","OCT THRU DEC","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","140","","4,000","","90","","180","","5","","0.6","","0.6","","0.6","","0.6","","2.8","","20.6","","130","","3",""
"SURVEY","2021","OCT THRU DEC","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","20,000","","310,000","","10,500","","38,000","","12","","5.9","","8.8","","9.1","","19","","13.6","","28.9","","11,000","","4",""
"SURVEY","2021","OCT THRU DEC","","STATE","GEORGIA","13","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","12,500","","132,000","","7,500","","24,000","","18","","0.5","","5.7","","7.8","","24.7","","7.2","","41","","12,000","","9",""
"SURVEY","2021","OCT THRU DEC","","STATE","HAWAII","15","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,100","","20,000","","0","","100","","1","","19.7","","0","","0","","64.2","","0","","66.1","","530","","3",""
"SURVEY","2021","OCT THRU DEC","","STATE","IDAHO","16","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","250","","230,000","","10,500","","22,000","","10","","4.9","","4","","12","","8","","11.2","","58.1","","4,300","","2",""
"SURVEY","2021","OCT THRU DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","180","","12,500","","340","","1,300","","10","","2.4","","2.3","","1.4","","9.1","","7.2","","31.9","","810","","6",""
"SURVEY","2021","OCT THRU DEC","","STATE","INDIANA","18","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","130","","14,500","","180","","1,700","","12","","11.3","","1.5","","21.3","","19.6","","1.9","","43.6","","2,400","","17",""
"SURVEY","2021","OCT THRU DEC","","STATE","IOWA","19","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","170","","51,000","","2,100","","4,000","","8","","0.9","","1","","17","","1.2","","1.7","","17.9","","90",""," (Z)",""
"SURVEY","2021","OCT THRU DEC","","STATE","KANSAS","20","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","140","","8,000","","200","","2,100","","26","","1.5","","14.6","","15.5","","20.1","","13.9","","30.5","","50","","1",""
"SURVEY","2021","OCT THRU DEC","","STATE","KENTUCKY","21","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","120","","10,500","","160","","880","","8","","2.3","","13.2",""," (Z)","","39","","12","","54.1","","460","","4",""
"SURVEY","2021","OCT THRU DEC","","STATE","LOUISIANA","22","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,400","","36,000","","450","","2,800","","8","","0",""," (Z)",""," (Z)","","5.4","","5.3","","28.2","","1,300","","4",""
"SURVEY","2021","OCT THRU DEC","","STATE","MAINE","23","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","70","","5,500","","30","","700","","13","","0","","15.2","","0","","18.1","","2","","29.3","","160","","3",""
"SURVEY","2021","OCT THRU DEC","","STATE","MARYLAND","24","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,200","","6,000","","120","","720","","12",""," (Z)","","3.1","","0","","12.2","","0.7","","21.2","","","","0",""
"SURVEY","2021","OCT THRU DEC","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","20","","10,500","","20","","290","","3","","0.5",""," (Z)","","0",""," (Z)","","0.6","","5.4","","50",""," (Z)",""
"SURVEY","2021","OCT THRU DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","140","","105,000","","1,000","","6,000","","6","","0","","0.9","","3.1","","2.2","","1.5","","8.7","","2,200","","2",""
"SURVEY","2021","OCT THRU DEC","","STATE","MINNESOTA","27","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,900","","100,000","","1,900","","10,500","","11","","0","","0.6","","3.4",""," (Z)","","1.4","","8","","350",""," (Z)",""
"SURVEY","2021","OCT THRU DEC","","STATE","MISSISSIPPI","28","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","30","","23,000","","600","","3,000","","13","","0",""," (Z)","","5.8","","8.6","","8.3","","27.8","","240","","1",""
"SURVEY","2021","OCT THRU DEC","","STATE","MISSOURI","29","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","190","","7,500","","260","","590","","8",""," (Z)","","1.3","","1.1","","6.3","","0.8","","17.3","","120","","2",""
"SURVEY","2021","OCT THRU DEC","","STATE","MONTANA","30","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,200","","102,000","","180","","17,000","","17","","3.1","","4.9","","0","","2.9",""," (Z)","","27.2","","8,000","","8",""
"SURVEY","2021","OCT THRU DEC","","STATE","NEBRASKA","31","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","10","","43,000","","2,200","","7,500","","17","","2.8","","1.8","","4.2","","1.5",""," (Z)","","28","","250","","1",""
"SURVEY","2021","OCT THRU DEC","","STATE","NEW JERSEY","34","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","350","","19,500","","0","","430","","2",""," (Z)",""," (Z)","","0","","5.9",""," (Z)","","8.6","","","","0",""
"SURVEY","2021","OCT THRU DEC","","STATE","NEW MEXICO","35","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,000","","5,500","","0","","1,900","","35","","0",""," (Z)","","14.1","","44.4","","0.7","","65.6","","","","0",""
"SURVEY","2021","OCT THRU DEC","","STATE","NEW YORK","36","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","440","","66,000","","1,900","","21,000","","32","","1","","13.6","","1.3","","34.5","","3.5","","48","","26,000","","39",""
"SURVEY","2021","OCT THRU DEC","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","260","","22,000","","1,900","","2,100","","10","","0",""," (Z)",""," (Z)","","1.4","","5.1","","24.1","","360","","2",""
"SURVEY","2021","OCT THRU DEC","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","11,000","","485,000","","8,500","","27,000","","6","","2.8","","7.8",""," (Z)","","0.9",""," (Z)","","28","","8,000","","2",""
"SURVEY","2021","OCT THRU DEC","","STATE","OHIO","39","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","300","","17,000","","460","","1,600","","9",""," (Z)","","1.5","","2.5","","10.9","","6.6","","36.6","","460","","3",""
"SURVEY","2021","OCT THRU DEC","","STATE","OKLAHOMA","40","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","230","","21,000","","190","","1,400","","7",""," (Z)",""," (Z)","","0.5","","3.2","","0.8","","5.6","","950","","5",""
"SURVEY","2021","OCT THRU DEC","","STATE","OREGON","41","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","680","","103,000","","6,000","","10,500","","10","","8.7","","1.3","","2","","23.3",""," (Z)","","28.8","","29,000","","28",""
"SURVEY","2021","OCT THRU DEC","","STATE","OTHER STATES","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","140","","8,990","","","","510","","6","","0.9","","4.2",""," (Z)",""," (Z)",""," (Z)","","14.2","","110","","1",""
"SURVEY","2021","OCT THRU DEC","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","250","","26,000","","830","","2,400","","9","","3.5","","7","","3.4","","8.2","","1.1","","30.3","","150","","1",""
"SURVEY","2021","OCT THRU DEC","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","70","","21,000","","120","","3,200","","15",""," (Z)","","0.8","","11.3","","5.5","","2","","28.1","","150","","1",""
"SURVEY","2021","OCT THRU DEC","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,400","","190,000","","1,300","","11,500","","6",""," (Z)","","1.7","","7.4","","9","","1.6","","45.8","","120",""," (Z)",""
"SURVEY","2021","OCT THRU DEC","","STATE","TENNESSEE","47","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","20","","15,500","","280","","1,400","","9","","0.5","","2.5","","1.4","","5.1","","1","","33.5","","1,200","","8",""
"SURVEY","2021","OCT THRU DEC","","STATE","TEXAS","48","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,100","","290,000","","2,600","","23,000","","8","","1.2","","4.1","","9.8","","8.3","","5.5","","19.4","","1,700","","1",""
"SURVEY","2021","OCT THRU DEC","","STATE","UTAH","49","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,500","","37,000","","310","","3,200","","9","","0.7","","2","","0.7","","0.7","","4.7","","4.8","","1,400","","4",""
"SURVEY","2021","OCT THRU DEC","","STATE","VERMONT","50","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","0","","7,000","","20","","40","","1",""," (Z)",""," (Z)","","0","","0.6","","0.8","","16.1","","50","","1",""
"SURVEY","2021","OCT THRU DEC","","STATE","VIRGINIA","51","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","160","","8,500","","280","","930","","11","","0.8","","5.2","","0.5","","19.1","","3.2","","31.8","","210","","2",""
"SURVEY","2021","OCT THRU DEC","","STATE","WASHINGTON","53","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,400","","83,000","","4,500","","6,500","","8","","2","","7.6","","2.5","","2.7","","0.8","","42.3","","2,300","","3",""
"SURVEY","2021","OCT THRU DEC","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","10","","7,500","","260","","560","","7","","0.6","","1","","1.9","","6.3","","3.1","","13.8","","100","","1",""
"SURVEY","2021","OCT THRU DEC","","STATE","WISCONSIN","55","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,100","","47,000","","1,600","","5,500","","12","","0.5","","2.5","","0.7",""," (Z)","","0.7","","28.4","","150",""," (Z)",""
"SURVEY","2021","OCT THRU DEC","","STATE","WYOMING","56","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","660","","22,000","","870","","2,400","","11","","9.3","","2.3","","0","","2.3","","0.6","","14.7","","560","","3",""
"SURVEY","2020","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","536,170","","","","48,270","","300,990","","10","","5.5","","11.2","","6.2","","12.5","","5.4","","43.1","","626,870","","21",""
"SURVEY","2020","APR THRU JUN","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,700","","8,500","","410","","4,100","","48","","1.6","","7.9","","7.7","","18","","9.5","","28.5","","2,600","","31",""
"SURVEY","2020","APR THRU JUN","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","14,500","","26,000","","140","","1,300","","5",""," (Z)","","5.5","","4.2","","0","","0.6","","22.1","","4,700","","18",""
"SURVEY","2020","APR THRU JUN","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,900","","17,000","","900","","1,800","","11","","5.1","","2.1","","24.6","","15.3","","12.4","","40.5","","800","","5",""
"SURVEY","2020","APR THRU JUN","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","175,000","","1,200,000","","3,200","","100,000","","8","","3.9","","7.6","","5.5","","4.8","","3.1","","33.6","","240,000","","20",""
"SURVEY","2020","APR THRU JUN","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","7,000","","27,000","","310","","2,100","","8",""," (Z)","","0.5","","0",""," (Z)","","2.5","","35.4","","2,800","","10",""
"SURVEY","2020","APR THRU JUN","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,200","","4,300","","0","","30","","1","","0","","0.1","","0","","2.1","","0.6","","14.8","","450","","10",""
"SURVEY","2020","APR THRU JUN","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","25,000","","310,000","","12,000","","40,000","","13","","3.4","","5.9","","5.8","","16","","7.9","","33.1","","18,500","","6",""
"SURVEY","2020","APR THRU JUN","","STATE","GEORGIA","13","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","18,500","","147,000","","3,300","","10,000","","7","","6.9","","7.9","","2.9","","19.6","","13.4","","47.9","","20,000","","14",""
"SURVEY","2020","APR THRU JUN","","STATE","HAWAII","15","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,000","","15,500","","0","","0","","0","","1","","1.1","","0","","41.1","","0","","43.1","","2,300","","15",""
"SURVEY","2020","APR THRU JUN","","STATE","IDAHO","16","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","22,000","","81,000","","2,400","","18,000","","22","","11.1","","6.9","","8.6","","10.9","","5.8","","44.2","","29,000","","36",""
"SURVEY","2020","APR THRU JUN","","STATE","ILLINOIS","17","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,200","","12,000","","190","","1,500","","13","","1","","11.9","","8.3","","8.2","","4","","23.5","","1,700","","14",""
"SURVEY","2020","APR THRU JUN","","STATE","INDIANA","18","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,500","","12,000","","30","","920","","8","","1.8","","5.4","","20.2","","12.5","","1.5","","26.8","","1,800","","15",""
"SURVEY","2020","APR THRU JUN","","STATE","IOWA","19","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","17,000","","29,000","","440","","3,600","","12","","16.6","","3.5","","0.8","","24.7","","0.5","","30.6","","4,700","","16",""
"SURVEY","2020","APR THRU JUN","","STATE","KANSAS","20","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,900","","8,000","","270","","680","","9","","24","","28.9","","32.8","","34.1","","14.3","","68.4","","1,800","","23",""
"SURVEY","2020","APR THRU JUN","","STATE","KENTUCKY","21","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,200","","11,000","","120","","1,200","","11",""," (Z)","","2.9","","1.2","","10.9","","3.2","","18.3","","3,500","","32",""
"SURVEY","2020","APR THRU JUN","","STATE","LOUISIANA","22","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,300","","53,000","","650","","1,800","","3","","0.5","","3.5",""," (Z)","","4.7","","1.3","","23.7","","4,700","","9",""
